task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
d511f180,center,1,2,32,8,40,37,62,4,10,11,16,592,992,1.0,1.0,0.0,0.0,4.137598443776369e-05,5.265907384455204e-05,0.00011916400399059057,0.00013792607933282852,9.6741016022861e-05,0.0001085581025108695,,ARC-AGI-1,training
d5d6de2d,von_neumann_r2,13,61,3517,8,3525,6685,2623,4,10,11,725,4846625,1901675,1.0,1.0,0.0,0.0,0.0016660400433465838,0.001672810991294682,0.005646083038300276,0.005671348073519766,0.005163119989447296,0.0052131799748167396,,ARC-AGI-1,training
d90796e8,von_neumann_r1,5,11,312,8,320,531,385,4,10,11,63,33453,24255,1.0,1.0,0.0,0.0,0.00012792297638952732,0.0001382549526169896,0.00042505806777626276,0.0004551149904727936,0.0003181399079039693,0.0003317269729450345,,ARC-AGI-1,training
dc1df850,moore_r1,9,25,1076,8,1084,1969,975,4,10,11,100,196900,97500,1.0,1.0,0.0,0.0,0.00021692004520446062,0.00022795004770159721,0.0009419689886271954,0.000962314079515636,0.0007715889951214194,0.000782618997618556,,ARC-AGI-1,training
dc433765,moore_r2,25,13,1524,8,1532,2514,715,4,10,11,130,326820,92950,1.0,1.0,0.0,0.0,0.00044276693370193243,0.0004590080352500081,0.0010652350028976798,0.0010972220916301012,0.001401220913976431,0.0014243520563468337,,ARC-AGI-1,training
e26a3af2,von_neumann_r1,5,89,2187,8,2195,3944,3115,4,10,11,225,887400,700875,1.0,1.0,0.0,0.0,0.00038200197741389275,0.00039441604167222977,0.0034042539773508906,0.003450098098255694,0.00231320399325341,0.002342481049709022,,ARC-AGI-1,training
e40b9e2f,von_neumann_r2,13,15,940,8,948,1672,645,4,10,11,100,167200,64500,1.0,1.0,0.0,0.0,0.00024336797650903463,0.00025504897348582745,0.0005980140995234251,0.0006187049439176917,0.0005784690147265792,0.0005884229904040694,,ARC-AGI-1,training
e5062a87,von_neumann_r2,13,32,1893,8,1901,3320,1376,4,10,11,100,332000,137600,1.0,1.0,0.0,0.0,0.00024571805261075497,0.00025785097386687994,0.001176071004010737,0.0012050209334120154,0.001122823916375637,0.0011302860220894217,,ARC-AGI-1,training
e73095fd,moore_r2,25,45,4854,8,4862,8440,2475,4,10,11,288,2430720,712800,1.0,1.0,0.0,0.0,0.0008608110947534442,0.000880730920471251,0.002082551014609635,0.0020967620657756925,0.002569622010923922,0.002589859999716282,,ARC-AGI-1,training
e76a88a6,moore_r2,25,39,4230,8,4238,7159,2145,4,10,11,100,715900,214500,1.0,1.0,0.0,0.0,0.00032719795126467943,0.0003358939429745078,0.001456793979741633,0.0015676399925723672,0.0019282540306448936,0.0019389399094507098,,ARC-AGI-1,training
e8593010,von_neumann_r2,13,74,4246,8,4254,7104,3182,4,10,11,100,710400,318200,1.0,1.0,0.0,0.0,0.00025343301240354776,0.0002631769748404622,0.0026161130517721176,0.0026452780002728105,0.0024555190466344357,0.002468910999596119,,ARC-AGI-1,training
ea786f4a,von_neumann_r2,13,24,1444,8,1452,2268,1032,4,10,11,121,274428,124872,1.0,1.0,0.0,0.0,0.00029226404149085283,0.0003029369981959462,0.0009490159573033452,0.0009659690549597144,0.0008850259473547339,0.0008967550238594413,,ARC-AGI-1,training
ed36ccf7,von_neumann_r1,5,18,481,8,489,824,630,4,10,11,9,7416,5670,1.0,1.0,0.0,0.0,3.8844067603349686e-05,4.8304093070328236e-05,0.0006025179754942656,0.0006295529892668128,0.00043376197572797537,0.00044273200910538435,,ARC-AGI-1,training
ef135b50,moore_r2,25,29,3189,8,3197,5833,1595,4,10,11,100,583300,159500,1.0,1.0,0.0,0.0,0.00032437697518616915,0.000335350981913507,0.0011116409441456199,0.0011294230353087187,0.0014633359387516975,0.0014787879772484303,,ARC-AGI-1,training
f76d97a5,von_neumann_r1,5,53,1322,8,1330,2238,1855,4,10,11,25,55950,46375,1.0,1.0,0.0,0.0,6.699399091303349e-05,8.306792005896568e-05,0.00165550597012043,0.0016723809530958533,0.0011959569528698921,0.0012080909218639135,,ARC-AGI-1,training
