task_id,selection_status,candidates_evaluated,exact_training_candidates,selection_seconds,program,program_kind,description_bits,wrapper_description_bits,total_description_bits,onehot_gates_per_cell_upper,outcome,labeled_pairs,pair_exact_count,pair_exact_rate,task_exact,matching_shape_pairs,cell_accuracy,scored_cells,mean_steps,max_steps,stop_reasons,dynamic_gate_upper_bound,local_dynamic_gate_upper_bound,fixed_point_detection_gate_upper_bound,median_seconds,p95_seconds,dataset,dataset_commit,split,task_index
2bcee788,no_exact_program,49,0,0.0007788819493725896,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,62
2bee17df,no_exact_program,85,0,0.007434322964400053,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,63
2c608aff,no_exact_program,49,0,0.0007628019666299224,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,64
2dc579da,unsupported_shape_change,0,0,1.317937858402729e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,65
2dd70a9a,no_exact_program,85,0,0.010245983954519033,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,66
2dee498d,unsupported_shape_change,0,0,1.569977030158043e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,67
31aa019c,no_exact_program,49,0,0.0007365749916061759,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,68
321b1fc6,no_exact_program,49,0,0.0007097849156707525,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,69
32597951,no_exact_program,85,0,0.006723662023432553,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,70
3345333e,no_exact_program,49,0,0.0007400620961561799,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,71
3428a4f5,unsupported_shape_change,0,0,1.3319076970219612e-06,,,,,,,abstained,2,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,72
3618c87e,no_exact_program,49,0,0.0007001570193096995,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,73
3631a71a,no_exact_program,49,0,0.0010974330361932516,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,74
363442ee,no_exact_program,49,0,0.000729043036699295,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,75
36d67576,no_exact_program,49,0,0.0007394659332931042,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,76
36fdfd69,no_exact_program,49,0,0.0007733620004728436,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,77
3906de3d,no_exact_program,49,0,0.0007164770504459739,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,78
39a8645d,unsupported_shape_change,0,0,1.1629890650510788e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,79
39e1d7f9,no_exact_program,49,0,0.0009435899555683136,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,80
3aa6fb7a,no_exact_program,73,0,0.004628407885320485,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,81
3ac3eb23,no_exact_program,49,0,0.0007235020166262984,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,82
3af2c5a8,unsupported_shape_change,0,0,1.1599622666835785e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,83
3bd67248,no_exact_program,49,0,0.0007108459249138832,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,84
3bdb4ada,no_exact_program,49,0,0.0007739139255136251,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,85
3befdf3e,no_exact_program,49,0,0.0007272280054166913,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,86
3c9b0459,no_exact_program,49,0,0.0006975600263103843,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,87
3de23699,unsupported_shape_change,0,0,1.2150267139077187e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,88
3e980e27,no_exact_program,49,0,0.0008459460223093629,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,89
3eda0437,no_exact_program,85,0,0.007368881022557616,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,90
3f7978a0,unsupported_shape_change,0,0,1.2529781088232994e-06,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,91
40853293,no_exact_program,49,0,0.0008186770137399435,,,,,,,abstained,1,0,0.0,0.0,0,,0,,,,,,,,,ARC-AGI-1,aa922be204204ec148a1137fe6ed4d34ddde812b,training,92
