family,train_fraction,seed,method,train_accuracy,iid_accuracy,ood_accuracy,ood_balanced_accuracy,ood_tpr,ood_tnr,ood_f1,ood_mcc,full_accuracy,full_balanced_accuracy,fit_seconds,gate_count,depth,expression
compositional,0.5,9,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7851187000051141,11.0,4.0,((((x4 XOR x5) OR (x2 AND x3)) AND (x6 NAND x7)) OR (((x4 XOR x5) OR (x0 AND x1)) AND (x6 NAND x7)))
compositional,0.5,9,MLP,1.0,0.8151260504201681,0.5555555555555556,0.625,0.75,0.5,0.42857142857142855,0.2091650066335189,0.8828125,0.8802505526897568,0.2065467000938952,,,
compositional,0.5,9,TruthMemorizer,1.0,0.5546218487394958,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.73828125,0.7161016949152542,0.0,,,
compositional,0.5,9,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.75,0,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7792886001989245,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.75,0,MLP,1.0,0.95,0.8333333333333334,0.8928571428571428,1.0,0.7857142857142857,0.7272727272727273,0.6700593942604899,0.9765625,0.9745762711864407,0.2303942001890391,,,
compositional,0.75,0,TruthMemorizer,1.0,0.5,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.828125,0.8135593220338984,0.0,,,
compositional,0.75,0,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.75,1,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8068045999389142,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.75,1,MLP,1.0,0.9666666666666667,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.8888888888888888,0.8618916073713346,0.98828125,0.9872881355932204,0.22703459998592734,,,
compositional,0.75,1,TruthMemorizer,1.0,0.6,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.8515625,0.8389830508474576,0.0,,,
compositional,0.75,1,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.75,2,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7228174998890609,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))))
compositional,0.75,2,MLP,1.0,0.95,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.8888888888888888,0.8618916073713346,0.984375,0.9842790469172193,0.21583470003679395,,,
compositional,0.75,2,TruthMemorizer,1.0,0.5333333333333333,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.8359375,0.8220338983050848,0.0,,,
compositional,0.75,2,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.75,3,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6912473000120372,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.75,3,MLP,1.0,0.95,0.8888888888888888,0.9285714285714286,1.0,0.8571428571428571,0.8,0.7559289460184544,0.98046875,0.9800417587816261,0.22639349987730384,,,
compositional,0.75,3,TruthMemorizer,1.0,0.6666666666666666,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.8671875,0.8559322033898304,0.0,,,
compositional,0.75,3,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
