run,suite,cohort,source_commit,task_id,variant,seed,status,deployment_eligible,strict_hard_task_exact,selected_by_demo,hard_demo_task_exact,hard_demo_cell_accuracy,hard_task_exact,hard_cell_accuracy,soft_task_exact,hardening_task_drop,selected_horizon,state_bits_per_cell,parameter_count,parameter_storage_bits,hard_fixed_width_circuit_bits,active_non_passthrough_gates,hard_gates_per_cell_step,test_dynamic_gate_evaluations,dense_macs_per_cell_step,test_dense_macs,test_state_bit_updates,hard_export_equivalent,elapsed_seconds
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,3aa6fb7a,dlr,0,trained,0.0,0.0,1.0,0.0,0.9489795918367347,0.0,0.9183673469387755,0.0,0.0,2,12,4160,133120,4472,84,260,25480,,,1176,1.0,15.907918942044489
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9256965944272446,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9256965944272446,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,d4_bgpad_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9256965944272446,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,dl1,1,trained,0.0,0.0,1.0,0.0,0.8256302521008403,0.0,0.804953560371517,0.0,0.0,1,4,2624,83968,2704,23,164,52972,,,1292,1.0,7.554205477004871
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,dl1_wide,0,trained,0.0,0.0,1.0,0.0,0.8151260504201681,0.0,0.7461300309597523,0.0,0.0,1,4,7744,247808,8376,52,484,156332,,,1292,1.0,8.013232139055617
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,dlc1,0,trained,0.0,0.0,1.0,0.0,0.7773109243697479,0.0,0.7461300309597523,0.0,0.0,1,4,7744,247808,8888,47,484,156332,,,1292,1.0,8.223602456972003
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,4347f46a,dlr,0,trained,0.0,0.0,1.0,0.0,0.06302521008403361,0.0,0.0804953560371517,0.0,0.0,4,12,4160,133120,4472,87,260,335920,,,15504,1.0,16.83826076099649
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,9968a131,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.88,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,9968a131,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.88,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,9968a131,d4_bgpad_sparse,-1,no_deterministic_local_rule,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,9968a131,dl1,1,trained,0.0,0.0,1.0,0.0,0.6346153846153846,0.0,0.52,0.0,0.0,1,4,2624,83968,2704,20,164,4100,,,100,1.0,5.356874497025274
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,9968a131,dl1_wide,0,trained,0.0,0.0,1.0,0.0,0.7115384615384616,0.0,0.84,0.0,0.0,1,4,7744,247808,8376,66,484,12100,,,100,1.0,6.8689692029729486
